,x,y,vx,vy,E_total,E_kin,E_pot
175,-4.89568336451596,-92.91474691350913,-0.6550739735976752,-2.9922209025039845,-69153.41016785157,422.21285281200636,-69575.62302066358
176,-5.045219146320725,-93.72618592163361,-0.5404843849790155,-3.490836727652539,-69160.36883946537,561.5128993290314,-69721.8817387944
177,-5.1655906835128125,-94.65564678173646,-0.4218802663075286,-3.9353089828866654,-69170.5465663664,704.9087887449687,-69875.45535511138
178,-5.255886432605474,-95.68882588202608,-0.3000052958386272,-4.319691775735448,-69184.31999256348,843.738309669946,-70028.05830223343
179,-5.315385533090388,-96.81008258276694,-0.17563945491572902,-4.639242404645995,-69201.78367788458,969.9038688234893,-70171.68754670808
180,-5.343565580472576,-98.00274407573747,-0.04958876841111684,-4.890447382340855,-69222.71809354081,1076.3520590428673,-70299.07015258368
181,-5.340107922396428,-99.24941207651524,0.07732435093587686,-5.071011879735962,-69246.59874873987,1157.4513242851908,-70404.05007302506
182,-5.304900582290637,-100.53226285781449,0.20427043430283207,-5.179817989846057,-69272.64310807374,1209.2508368218398,-70481.89394489556
183,-5.238038896869992,-101.83333359434167,0.33042188650875604,-5.216858030052778,-69299.8870829602,1229.6153847964572,-70529.50246775664
184,-5.139823992424033,-103.13478959361467,0.4549613079805913,-5.183149411556197,-69327.27969724726,1218.2412426423646,-70545.52093988963
185,-5.010759280565993,-104.41916860763678,0.5770889803711491,-5.080637438545777,-69353.78324600472,1176.5658812948463,-70530.34912729956
186,-4.851545208751998,-105.6695999494732,0.6960293121866072,-4.912091854618471,-69378.46677854567,1107.5896436234443,-70486.05642216912
187,-4.663072546841654,-106.86999749690217,0.8110360807036852,-4.681002151339787,-69400.58269679073,1015.630229927291,-70416.21292671803
188,-4.446414527698322,-108.00522680333236,0.9213963364319585,-4.391475715108113,-69419.61919251735,906.0313574328546,-70325.65054995021
189,-4.2028181928942585,-109.06124743416319,1.0264328309286446,-4.048141924241584,-69435.32464658367,784.8457827844745,-70220.17042936814
190,-3.9336953369679,-110.02523231090913,1.1255047520552508,-3.6560644179232784,-69447.70352454773,658.5105588706634,-70106.2140834184
191,-3.6406135203596137,-110.8856663068467,1.218006338326254,-3.2206630473681432,-69456.98637258602,533.5294457198512,-69990.51581830587
192,-3.3252877803865872,-111.63242665972675,1.3033624655309681,-2.747646652264909,-69463.57902164958,416.1742129015886,-69879.75323455117
193,-2.9895740072227035,-112.25684807538985,1.3810192911125758,-2.2429581647714816,-69467.99797324318,312.213402510306,-69780.2113757535
194,-2.6354656523364968,-112.75177598140719,1.4504260707099537,-1.7127356791567965,-69470.80029182328,226.67396819633134,-69697.47426001962
195,-2.2650967718173995,-113.11161299368477,1.5110013331137866,-1.163299821740459,-69472.51763432639,163.63761767698608,-69636.15525200337
196,-1.880756207817335,-113.33236802457118,1.5620777315552818,-0.6011937194218524,-69473.60637033822,126.06843274619291,-69599.67480308442
197,-1.484916489743349,-113.41172641832286,1.6028488804496337,-0.03331640923960222,-69474.42992151184,115.66055325074693,-69590.09047476258
198,-1.0802661604179267,-113.34916372706564,1.632415311517384,0.5328830846687795,-69475.28894820061,132.69348590411303,-69607.98243410474
199,-0.6697096006170014,-113.14609233041408,1.6499899321204727,1.0893840905029544,-69476.48955035028,175.9151012732942,-69652.40465162357
200,-0.25631223063895286,-112.80597185130972,1.6550908815987841,1.6278974281043643,-69478.4007240353,242.52191382511103,-69720.9226378604
201,0.15678335776917962,-112.33432398377512,1.6475786100390815,2.1402794091603674,-69481.46171096146,328.28900514903734,-69809.7507161105
202,0.5664376897168614,-111.73865319519626,1.6276079026015604,2.618855929873162,-69486.14278773312,427.83812397192935,-69913.98091170503
203,0.969580912872024,-111.02829989161967,1.5955725479072367,3.0566439565697,-69492.8814540447,535.0015814791168,-70027.88303552382
204,1.363266656652512,-110.21424735206986,1.5520597030384915,3.4475046319043026,-69502.01367405946,643.2379878958898,-70145.25166195535
205,1.7447154168100003,-109.3088967249694,1.4978110095788548,3.786247745831942,-69513.71464334795,746.059941595489,-70259.77458494344
206,2.1113486792467655,-108.32582104796106,1.4336869934645438,4.0686960318630785,-69527.95911998965,837.4385607717493,-70365.3976807614
207,2.4608143884650153,-107.2795077137967,1.3606333169395528,4.291713994462462,-69544.50708558659,912.1559415043893,-70456.66302709098
208,2.7910041891990214,-106.18509773048586,1.2796487541396457,4.453205447113736,-69562.91623420734,966.0842859678568,-70529.00052017518
209,3.1000629216292106,-105.05812903586377,1.1917553409162844,4.552084342850966,-69582.57886020247,996.378869566413,-70578.95772976888
210,3.3863909900021527,-103.914289921589,1.097971315079935,4.588223930980063,-69602.77756365774,1001.5802932300426,-70604.35785688779
211,3.6486403760493746,-102.76918733101161,0.9992874200327174,4.562389481080371,-69622.75213591583,981.6287906208806,-70604.3809265367
212,3.8857051957653144,-101.63813349132133,0.8966470065608246,4.476159715445323,-69641.76915697593,937.7991743647522,-70579.56833134068
213,4.096707785710439,-100.53595309687945,0.7909301968761594,4.3318417164088565,-69659.18616996019,872.5690454557765,-70531.75521541596
214,4.2809813496546925,-99.47681213803595,0.6829422061406684,4.13238349539949,-69674.50358438064,789.4351534490276,-70463.93873782968
215,4.438050201026329,-98.47406850939929,0.573405767589374,3.8812877049174728,-69687.39940070498,692.6934790191737,-70380.09287972414
